from	statement	to	subkey
12	Ovary/fruit distally narrowed; sepals not separating	Onagraceae	Family Group 5
13	Leaves +- fleshy	14	Family Group 5
13	Leaves not fleshy	15	Family Group 5
14	Plant 50--230 cm; leaves entire or toothed	Balsaminaceae	Family Group 5
14	Plant 1--30 cm; leaves entire	Montiaceae	Family Group 5
15	Leaves opposite	16	Family Group 5
15	Leaves alternate	21	Family Group 5
16	Leaves 2--7 mm, awl-shaped to oblong, bristle-tipped	Caryophyllaceae	Family Group 5
16	Leaves linear, oblong, or lanceolate to ovate or round, not bristle-tipped	17	Family Group 5
17	Stem square in &times;-section; flowers in head-like axillary and terminal clusters --- fruit 4 nutlets	Lamiaceae	Family Group 5
17	Stem round in &times;-section; flowers axillary or in terminal raceme	18	Family Group 5
18	Leaves of a pair unequal; ovule 1; fruit achene; perianth base hardened or 5-winged or -ribbed around fruit	Nyctaginaceae	Family Group 5
18	Leaves of a pair equal; ovules several--many; fruit capsule; perianth base not hardened or 5-winged around fruit	19	Family Group 5
19	Fruit valves 3, ovary chambers 3	Cistaceae	Family Group 5
19	Fruit valves 2, ovary chambers 1--2	20	Family Group 5
20	Sepals strongly fused	Phrymaceae	Family Group 5
20	Sepals +- free	Plantaginaceae	Family Group 5
21	Fruit 1--4 hard, shiny gray nutlets	Boraginaceae	Family Group 5
21	Fruit a capsule	22	Family Group 5
22	Perennial herb	23	Family Group 5
22	Annual	24	Family Group 5
23	Leaves +- sessile; capsule flat	Polygalaceae	Family Group 5
23	Leaves petioled; capsule ovoid to oblong	Violaceae	Family Group 5
24	Inflorescence or solitary flowers axillary; ovary chambers 5	Balsaminaceae	Family Group 5
24	Inflorescence terminal (axillary); ovary chambers 2--3	25	Family Group 5
25	Inflorescence a raceme	Plantaginaceae {Antirrhinum, Dopatrium, Nuttallanthus}	Family Group 5
25	Inflorescence a head	Polemoniaceae	Family Group 5
1	Plant fully aquatic, submersed, floating in water, or stranded on mud	2	Family Group 6
1	Plant terrestrial or parasitic on stem of woody host plant, or if growing in wet habitat, rooted in place and emerging well above water surface	7	Family Group 6
2	Plant generally free-floating, at or just below water surface, plant body 0.4--10 mm; leaves and stems not differentiated; roots 0--few, unbranched --- stamens emerging from tiny lateral, membrane-covered pouch or from minute cavity on top of plant body	Araceae	Family Group 6
2	Plant rooted in bottom sediments or free-floating, >> 10 mm; leaves and stems clearly differentiated; roots often branched	3	Family Group 6
3	Leaves alternate	4	Family Group 6
3	Leaves opposite or whorled	5	Family Group 6
4	Flowers in dense, spheric heads, these solitary or in axillary or terminal clusters, not enclosed in leaf sheaths; freshwater habitats	Typhaceae	Family Group 6
4	Flowers in axillary spikes, these generally enclosed and concealed in sheaths of subtending leaves; marine habitats	Zosteraceae	Family Group 6
5	Leaf blades entire, toothed, or shallowly lobed	Hydrocharitaceae	Family Group 6
5	Leaf blades [at least those of submersed leaves] divided into linear or thread-like lobes	6	Family Group 6
6	Blades of leaves repeatedly forked	Ceratophyllaceae	Family Group 6
6	Blades of leaves pinnately divided	Haloragaceae	Family Group 6
7	Plant parasitic on stem of woody host plant	8	Family Group 6
7	Plant free-living	9	Family Group 6
8	Flowers of parasite borne directly on stems of host; remainder of parasite internal within tissues of host; stems and leaves not differentiated; on _Psorothamnus_	Apodanthaceae	Family Group 6
8	Flowers borne on leafy branches of parasite; shoots of parasite external; leaves differentiated though sometimes reduced to scales; on various woody hosts [not _Psorothamnus_]	Viscaceae	Family Group 6
9	Leaves opposite or whorled, not all basal	10	Family Group 6
9	Leaves alternate or all basal	16	Family Group 6
10	Stems or leaves thick and fleshy; inflorescence a terminal spike	11	Family Group 6
10	Stems and leaves of normal texture, not thick and fleshy; inflorescences various	12	Family Group 6
11	Leaves +- cylindric or 3-angled in &times;-section; petal-like perianth parts 4	Bataceae	Family Group 6
11	Leaves fleshy, scale-like; petal-like perianth parts 0	Chenopodiaceae	Family Group 6
12	Leaves palmately compound or simple and deeply lobed	Cannabaceae	Family Group 6
12	Leaves simple, entire or toothed	13	Family Group 6
13	Leaves whorled	Rubiaceae	Family Group 6
13	Leaves opposite	14	Family Group 6
14	Leaves sessile or nearly so, entire	Caryophyllaceae	Family Group 6
14	Leaves conspicuously petioled, toothed	15	Family Group 6
15	Stamens 8--15(20); stinging hairs 0	Euphorbiaceae	Family Group 6
15	Stamens 4; stinging hairs present or 0	Urticaceae	Family Group 6
16	Leaves stiff and sword-like, 5--15 dm; inflorescence a large panicle; perianth parts 6	Ruscaceae	Family Group 6
16	Leaves not sword-like, often smaller; inflorescences various; perianth parts often other than 6	17	Family Group 6
17	Leaf blades linear or narrowly lanceolate, simple and entire, veins parallel; leaf bases sheathing	18	Family Group 6
17	Leaf blades variously shaped, sometimes toothed, lobed, or compound, veins mostly pinnate or palmate; leaf bases generally not sheathing	20	Family Group 6
18	Inflorescence a panicle or raceme of showy flowers; perianth parts all petal-like, white to +- yellow, each with a glistening, +- green-yellow gland in proximal half	Melanthiaceae	Family Group 6
18	Inflorescence a cluster of spikelets (sometimes panicle- or raceme-like); perianth parts 0 or minute scales	19	Family Group 6
19	Stem triangular, nodes not swollen; leaf blades channeled	Cyperaceae	Family Group 6
19	Stem round; nodes generally swollen and knot-like; leaf blades generally flat	Poaceae	Family Group 6
20	Ocreae present, persistent or not; nodes generally swollen	Polygonaceae	Family Group 6
20	Ocreae 0; nodes generally not swollen	21	Family Group 6
21	Leaves all basal	22	Family Group 6
21	At least some leaves cauline	24	Family Group 6
22	Leaves compound, leaflets 3; perianth parts in 5s; stolons present	Rosaceae	Family Group 6
22	Leaves simple, entire; perianth parts in 3s; stolons 0	23	Family Group 6
23	Perianth clearly differentiated into sepals and petals; plant +- emergent aquatic, annual or perennial herb	Alismataceae	Family Group 6
23	Perianth whorls not strongly differentiated, outer and inner similar; plant terrestrial, matted per	Polygonaceae	Family Group 6
24	Plants vines	25	Family Group 6
24	Plants prostrate to erect herbs	27	Family Group 6
25	Tendrils 0; perianth parts not at all petal-like; stamens free	Cannabaceae	Family Group 6
25	Tendrils present; perianth parts petal-like	26	Family Group 6
26	Perianth parts fused, at least at base; stamens fused, number difficult to determine	Cucurbitaceae	Family Group 6
26	Perianth parts free; stamens 6, free	Smilacaceae	Family Group 6
27	Flowers in heads or umbels	28	Family Group 6
27	Flowers in axillary clusters, racemes, or panicles	31	Family Group 6
28	Inflorescence a simple or compound umbel	Apiaceae	Family Group 6
28	Inflorescence of 1 or more heads	29	Family Group 6
29	Heads without involucres	Chenopodiaceae	Family Group 6
29	Heads each subtended by an involucre	30	Family Group 6
30	Stamens free; petals free	Apiaceae	Family Group 6
30	Stamens fused by their anthers; petals fused or 0	Asteraceae	Family Group 6
31	Leaves deeply lobed or compound	32	Family Group 6
31	Leaves entire or toothed	35	Family Group 6
32	Leaves palmately compound, the leaflets serrate	Cannabaceae	Family Group 6
32	Leaves pinnately dissected or compound, the lobes or leaflets entire to coarsely toothed	33	Family Group 6
33	Leaves simple or 1-pinnate; anthers subsessile, 3--6 mm --- sepals 4--9, inflorescence a leafy raceme or panicle	Datiscaceae	Family Group 6
33	Leaves 2--4-pinnate; anthers exserted on slender filaments	34	Family Group 6
34	Leaflets coarsely crenate or shallowly lobed; sepals 4--5; petals 0; anthers linear, 1.5--5 mm; inflorescence an open panicle	Ranunculaceae	Family Group 6
34	Leaflets 2-serrate; sepals 5; petals 5; anthers oval, < 1 mm; inflorescence a panicle of dense spikes	Rosaceae	Family Group 6
35	Blades of leaves with several main veins; perianth parts >= 6 mm	Melanthiaceae	Family Group 6
35	Blades of leaves with 1--3 main veins; perianth parts generally <= 5 mm	36	Family Group 6
36	Herbage armed with stinging, nettle-like hairs	Euphorbiaceae	Family Group 6
36	Herbage glabrous or with non-stinging hairs	37	Family Group 6
37	Leaves covered with stellate scales or hairs	Euphorbiaceae	Family Group 6
37	Leaves without stellate scales or hairs	38	Family Group 6
38	Leaves generally bearing bead-like, sessile hairs or powdery scales	Chenopodiaceae	Family Group 6
38	Leaves glabrous or glaucous	39	Family Group 6
39	Leaves fleshy; sepals, petals each 4(5)	Crassulaceae	Family Group 6
39	Leaves thin or fleshy; sepals 2--6, petals 0	40	Family Group 6
40	Milky latex present; leaf blade base generally with 2 glands	Euphorbiaceae	Family Group 6
40	Milky latex 0; leaf blade base without glands	41	Family Group 6
41	Leaf +- round, blade with translucent dots; plant mat-forming	Urticaceae	Family Group 6
41	Leaf linear to (ob)ovate, blade without translucent dots; plant mat-forming to erect	Amaranthaceae	Family Group 6
1	Plant parasitic on stem of woody host plant	Viscaceae	Family Group 7
1	Plant free-living, rooted in ground	2	Family Group 7
2	Trunk unbranched, generally stout, covered with persistent woody leaf bases; leaves 4--7 m, pinnately compound	Arecaceae	Family Group 7
2	Trunk(s) generally branched, stout or slender, generally not covered with persistent leaf bases; leaves generally smaller, simple or compound	3	Family Group 7
3	Leaves stiff and sword-like, 0.6--2 m, base much expanded, white, fleshy; inflorescence a large panicle	Ruscaceae	Family Group 7
3	Leaves not sword-like, mostly smaller, base not much expanded, white, and fleshy; inflorescences various	4	Family Group 7
4	Leaves opposite or whorled	5	Family Group 7
4	Leaves alternate (leaf often opposite a tendril or inflorescence in Vitaceae)	23	Family Group 7
5	Leaves compound	6	Family Group 7
5	Leaves simple	9	Family Group 7
6	Leaves palmate	Sapindaceae	Family Group 7
6	Leaves pinnate	7	Family Group 7
7	Woody vine; sepals generally 4, conspicuous, petal-like	Ranunculaceae	Family Group 7
7	Tree or large shrub; sepals generally 5 or number difficult to determine, very small	8	Family Group 7
8	Flowers sessile or borne on short, stout pedicels	Oleaceae	Family Group 7
8	Flowers borne on elongated, thread-like pedicels	Sapindaceae	Family Group 7
9	Leaf toothed or lobed	10	Family Group 7
9	Leaf entire (strongly wavy in some _Garrya_ species)	12	Family Group 7
10	Leaf palmately veined and lobed	Sapindaceae	Family Group 7
10	Leaf pinnately veined and toothed	11	Family Group 7
11	Petals 0; stamens 4--10	Picrodendraceae	Family Group 7
11	Petals 5, united in salverform corolla; stamens 4, epipetalous	Scrophulariaceae	Family Group 7
12	Inflorescence a catkin	13	Family Group 7
12	Inflorescence not a catkin	15	Family Group 7
13	Leaf blades well developed; catkins elongate, pendent	Garryaceae	Family Group 7
13	"Leaves scale-, awl-, or needle-like; ""catkins"" short, not pendent --- actually catkin-like pollen cone of gymnosperm"	14	Family Group 7
14	Internodes very short; stem concealed by persistent, overlapping, green, scale-, awl-, or needle-like leaves; pollen sacs sessile beneath scales of small cone	Cupressaceae	Family Group 7
14	Internodes long; stem green, bearing dry, scale-like, often early-deciduous leaves; pollen sacs borne on filament-like stalk	Ephedraceae	Family Group 7
15	Leaves whorled	16	Family Group 7
15	Leaves opposite	18	Family Group 7
16	Leaf with abaxial groove	Ericaceae	Family Group 7
16	Leaf flat or with midvein raised on abaxial face	17	Family Group 7
17	Stamens 4; weak-stemmed shrub; stems 4-angled when young	Rubiaceae	Family Group 7
17	Stamens 5--10; stiff shrub; stems round	Picrodendraceae	Family Group 7
18	Herbage covered with silvery scales	Elaeagnaceae	Family Group 7
18	Herbage glabrous or variously hairy	19	Family Group 7
19	Petals fused proximally; stamens fused to corolla	20	Family Group 7
19	Petals free or 0; stamens free from corolla	21	Family Group 7
20	Leaves glossy	Rubiaceae	Family Group 7
20	Leaves densely hairy	Scrophulariaceae	Family Group 7
21	Leaves thick, leathery, evergreen; flowers in peduncled, head-like clusters; sepals well developed	Simmondsiaceae	Family Group 7
21	Leaves thin, deciduous; flowers in sessile axillary clusters or short-peduncled racemes; sepals very small	22	Family Group 7
22	Bark of young stems +- red; flowers pedicelled in short axillary racemes; stamens 5--10	Picrodendraceae	Family Group 7
22	Bark of young stems gray; flowers +- sessile in axillary clusters; stamens 1--4	Oleaceae	Family Group 7
23	Tendrils present; plant a vine; inflorescence of umbels or a panicle of head- or umbel-like clusters	24	Family Group 7
23	Tendrils 0; plant a shrub or tree, rarely a vine; inflorescence various	25	Family Group 7
24	Tendrils each opposite a leaf; calyx 0 or 5-lobed; petals 5, adherent at tips, +- yellow	Vitaceae	Family Group 7
24	Tendrils 2+ near petiole base; perianth parts 6 in 2 whorls of 3, petal-like, free, white to +- green or +- yellow	Smilacaceae	Family Group 7
25	Inflorescence a catkin or spike	26	Family Group 7
25	Inflorescence not a catkin or spike	44	Family Group 7
26	Leaves compound	27	Family Group 7
26	Leaves simple	29	Family Group 7
27	Leaves 1- and 2-pinnate, leaflets 20--28 on 1-pinnate leaves	Fabaceae	Family Group 7
27	Leaves 1-pinnate, leaflets 5--21	28	Family Group 7
28	Plant evergreen --- inflorescence resembles catkin when young, but is actually a branched panicle	Anacardiaceae	Family Group 7
28	Plant deciduous	Juglandaceae	Family Group 7
29	Shrubs of +- saline desert habitats; leaves sometimes thick, +- fleshy; spikes erect or very short and axillary	30	Family Group 7
29	Shrubs or trees, generally of non-saline habitats; leaves mostly thinner, not fleshy; spikes or catkins erect to pendent	31	Family Group 7
30	Leaf blades generally flat; perianth present though generally small and inconspicuous; bracts 0 or not peltate	Chenopodiaceae	Family Group 7
30	Leaf blades generally +- cylindric; perianth 0; bracts peltate	Sarcobataceae	Family Group 7
31	Leaves scale-, awl- or needle-like; plants evergreen --- catkin-like structure actually pollen cone of a gymnosperm	32	Family Group 7
31	Leaves with well developed blades; plants evergreen or deciduous	34	Family Group 7
32	Pollen sacs borne on filament-like stalks	Taxaceae	Family Group 7
32	Pollen sacs sessile on abaxial side of scale-like structures	33	Family Group 7
33	Scales with 2 pollen sacs; needle-like leaves 1--30 cm; bark generally separating in flakes or plates	Pinaceae	Family Group 7
33	Scales with several pollen sacs; needle-like leaves (if present) 1--2.5 cm; bark thick, fibrous, persistent	Cupressaceae	Family Group 7
34	Bractlets of inflorescence well developed and readily visible at time of flower	35	Family Group 7
34	Bractlets of inflorescence 0 or very inconspicuous at time of flower	38	Family Group 7
35	Catkins pendent	36	Family Group 7
35	Catkins +- stiff, +- erect to spreading but generally not pendent	37	Family Group 7
36	Catkin-bractlets fringe-margined, early-deciduous; stamens 8--60; trees	Salicaceae	Family Group 7
36	Catkin-bractlets entire or appearing 3-lobed, persistent; stamens 1--10; shrubs or trees	Betulaceae	Family Group 7
37	Low, brittle shrubs; leaves thin, crenate	Euphorbiaceae	Family Group 7
37	Shrubs or trees, not brittle; leaves entire or toothed --- catkin bracts sometimes early-deciduous	Salicaceae	Family Group 7
38	Evergreen shrubs or trees	39	Family Group 7
38	Deciduous shrubs or trees	41	Family Group 7
39	Main veins of leaf parallel or nearly so --- 2 perianth whorls actually present but sepals small and easily overlooked	Fabaceae	Family Group 7
39	Main veins of leaf clearly pinnate	40	Family Group 7
40	Leaves glabrous or with stellate hairs, not gland-dotted; sepals present; generally of dry-land habitats; catkins slender, pendent, generally >= 2 cm	Fagaceae	Family Group 7
40	Leaves glabrous or with minute, straight hairs, dotted with tiny resin glands; sepals 0; generally of moist, often wetland habitats; catkins short, dense, generally < 2 cm	Myricaceae	Family Group 7
41	Sepals small but evident	42	Family Group 7
41	Sepals 0 or calyx modified into cup- or saucer-shaped structure or reduced to a nectary	43	Family Group 7
42	Sepals 5--7; stamens 5--20; veins pinnate; leaf bases generally symmetric	Fagaceae	Family Group 7
42	Sepals 4; stamens 4; veins palmate; leaf bases oblique	Moraceae	Family Group 7
43	Leaves dotted with tiny resin glands; individual flowers difficult to distinguish	Myricaceae	Family Group 7
43	Leaves not gland-dotted; individual flowers clearly distinguishable on close examination	Salicaceae	Family Group 7
44	Leaves and stems armed with prickles	45	Family Group 7
44	Foliage not prickly, sometimes stems thorny or leaves spiny-toothed	46	Family Group 7
45	Petals free; stamens many	Rosaceae	Family Group 7
45	Petals fused; stamens 5	Solanaceae	Family Group 7
46	Leaves palmately lobed	47	Family Group 7
46	Leaves not palmately lobed	48	Family Group 7
47	Leaves peltate; inflorescence a panicle	Euphorbiaceae	Family Group 7
47	Leaves not peltate; inflorescence a head	Platanaceae	Family Group 7
48	Stems and leaves densely covered with stellate hairs	Euphorbiaceae	Family Group 7
48	Stems and leaves glabrous or hairy but hairs not stellate	49	Family Group 7
49	Stamens many	50	Family Group 7
49	Stamens 12 or fewer	52	Family Group 7
50	Leaves strongly aromatic; sepals 4; petals 0; anthers dehiscing by uplifted lids	Lauraceae	Family Group 7
50	Leaves not aromatic; sepals 5; petals 5; anthers dehiscent by slits	51	Family Group 7
51	Flowers in spheric heads; petals yellow, generally concealed by stamens; leaves simple or 2-pinnate	Fabaceae	Family Group 7
51	Flowers in racemes; petals white, conspicuous; leaves simple	Rosaceae	Family Group 7
52	Leaves compound	53	Family Group 7
52	Leaves simple (occasionally reduced to scales)	55	Family Group 7
53	Leaflets with a few, gland-tipped teeth near base	Simaroubaceae	Family Group 7
53	Leaflets entire or teeth not gland-tipped	54	Family Group 7
54	Leaflets 3--20, lance-linear to ovate, 10--130 mm	Anacardiaceae	Family Group 7
54	Leaflets 7--33, linear-oblong or narrowly elliptic, 2--10 mm	Burseraceae	Family Group 7
55	Shrub with thorny, generally leafless green stems; leaves scale-like to narrowly oblong, early deciduous	Simaroubaceae	Family Group 7
55	Tree, shrub, or woody vine, thorns occasionally present but stems generally leafy; leaves various, sometimes deciduous in winter or dry season	56	Family Group 7
56	Flower parts in 3s --- leaves with abaxial groove	Ericaceae	Family Group 7
56	Flower parts generally in 4s, 5s, or 6s	57	Family Group 7
57	Flowers in involucred heads, these generally in few- to many-headed clusters	Asteraceae	Family Group 7
57	Flowers solitary or variously clustered, not in involucred heads	58	Family Group 7
58	Leaves generally +- gray, either softly hairy or covered with powdery scales	Chenopodiaceae	Family Group 7
58	Leaves green	59	Family Group 7
59	Petals present	60	Family Group 7
59	Petals 0	63	Family Group 7
60	Leaves entire to lobed, not spiny-toothed; inflorescence a terminal or axillary panicle or umbel-like cluster, or flowers 1; flower parts generally in 5s	61	Family Group 7
60	Leaves spiny-toothed or entire; inflorescence an axillary cyme; flower parts in 4s or 5s	62	Family Group 7
61	Petals 1--5 mm	Anacardiaceae	Family Group 7
61	Petals 10--15 mm	Pittosporaceae	Family Group 7
62	Stamens generally 4, alternate petals	Aquifoliaceae	Family Group 7
62	Stamens 4--5, opposite petals	Rhamnaceae	Family Group 7
63	Leaves strongly aromatic; anthers dehiscing by uplifted lids	Lauraceae	Family Group 7
63	Leaves not aromatic; anthers dehiscent by slits	64	Family Group 7
64	Stamens = in number to and alternate sepals	Rhamnaceae	Family Group 7
64	Stamens = in number to and opposite sepals or > in number than sepals	65	Family Group 7
65	Leaf blade 2--12 mm; shrubs	Picrodendraceae	Family Group 7
65	Leaf blade 30--140 mm; trees or large shrubs	66	Family Group 7
66	Leaf 3-veined from base; inflorescence a sessile axillary cluster	Cannabaceae	Family Group 7
66	Leaf 1-veined from base; inflorescence a stalked umbel or umbel-like raceme	Moraceae	Family Group 7
1	Plant fully aquatic, submersed, floating in water, or stranded on mud	2	Family Group 8
1	Plant terrestrial or parasitic on stem of woody host, or if growing in wet habitat, rooted in place and emerging well above water surface	12	Family Group 8
2	Plant generally free-floating at or just below water surface, raft-like, the plant body 0.4--10 mm; leaves and stems not differentiated; roots 0--few, unbranched --- pistil located in tiny lateral, membrane-covered pouch or in minute cavity on top of plant body	Araceae	Family Group 8
2	Plant rooted in bottom sediments or free-floating, generally >> 15 mm; leaves and stems clearly differentiated; roots often branched	3	Family Group 8
3	Leaves alternate	4	Family Group 8
3	Leaves opposite or whorled or all basal	6	Family Group 8
4	Fruits borne in umbel-like clusters --- flowers actually bisexual but stamens easily overlooked and ephemeral	Ruppiaceae	Family Group 8
4	Fruits or flowers borne in spikes or heads	5	Family Group 8
5	Flowers in dense, spheric heads, these solitary or in axillary or terminal clusters, not enclosed in leaf sheaths; freshwater habitats	Typhaceae	Family Group 8
5	Flowers in axillary spikes, these generally enclosed and concealed in sheaths of subtending leaves; marine habitats	Zosteraceae	Family Group 8
6	Leaves all basal; flowers solitary in leaf-axils; style very elongated, generally 6--20 cm	Juncaginaceae	Family Group 8
6	Leaves cauline; flowers axillary or variously clustered; styles generally << 6 cm (except in some Hydrocharitaceae)	7	Family Group 8
7	Leaf blades [at least those of submersed leaves] divided into linear or thread-like lobes	8	Family Group 8
7	Leaf blades entire, toothed, or shallowly lobed	9	Family Group 8
8	Blades of leaves repeatedly forked	Ceratophyllaceae	Family Group 8
8	Blades of leaves pinnately forked	Haloragaceae	Family Group 8
9	Petals and sepals both 3(4), evident; perianth and stigmas borne at water surface at end of long, tubular hypanthium; ovary inferior, sessile in leaf axil	Hydrocharitaceae	Family Group 8
9	Petals and sepals both 0; stigmas submersed, borne at end of short styles; ovary or ovaries superior, sessile or short-stalked in leaf axil	10	Family Group 8
10	Pistils 2--10, simple, each with a cup-like stigma; leaves entire	Zannichelliaceae	Family Group 8
10	Pistil 1, compound, bearing 2--4 slender stigmas	11	Family Group 8
11	Leaves subentire to finely or coarsely toothed; ovary chamber 1, ovule 1; fruit achene-like	Hydrocharitaceae	Family Group 8
11	Leaves entire; ovary chambers 4, ovules 4; fruit splitting into 4 nutlets	Plantaginaceae	Family Group 8
12	Plants parasitic on stems of woody host plants	13	Family Group 8
12	Plants free-living	14	Family Group 8
13	Flowers of parasite borne directly on stems of host; remainder of parasite internal within tissues of host; stems and leaves not differentiated; on _Psorothamnus_	Apodanthaceae	Family Group 8
13	Flowers borne on leafy branches of parasite; shoots of parasite external; leaves differentiated, though sometimes reduced to scales; on various woody hosts [not _Psorothamnus_]	Viscaceae	Family Group 8
14	Stem fleshy, bearing spiny tubercles; leaves 0	Cactaceae	Family Group 8
14	Stem generally not fleshy, without spiny tubercles; leaves generally present	15	Family Group 8
15	Leaves opposite or whorled, not all basal	16	Family Group 8
15	Leaves alternate or all basal	24	Family Group 8
16	Stems or leaves thick and fleshy; inflorescence a terminal spike	17	Family Group 8
16	Stems and leaves of normal texture, not thick and fleshy; inflorescence various	18	Family Group 8
17	Leaves +- cylindric or 3-angled in &times;-section; stigma 1, head-like, 2-lobed; ovary chambers 4; ovaries joining into a fleshy multiple fruit; perianth 0	Bataceae	Family Group 8
17	Leaves fleshy, scale-like; stigmas 2, linear; ovary chamber 1; ovaries maturing as utricles, sometimes surrounded by fleshy bracts and perianth elements	Chenopodiaceae	Family Group 8
18	Leaves compound or deeply lobed, or also some simple	19	Family Group 8
18	Leaves simple, entire or toothed	20	Family Group 8
19	Compound leaves palmate	Cannabaceae	Family Group 8
19	Compound or deeply lobed leaves pinnate	Valerianaceae	Family Group 8
20	Leaves whorled; ovary inferior	Rubiaceae	Family Group 8
20	Leaves opposite; ovary superior	21	Family Group 8
21	Leaves sessile or nearly so, entire; petals free	Caryophyllaceae	Family Group 8
21	Leaves conspicuously petioled, toothed; petals fused or 0	22	Family Group 8
22	Corolla showy, bilateral	Lamiaceae	Family Group 8
22	Corolla 0	23	Family Group 8
23	Styles 2, ovary 2-chambered; stinging hairs 0	Euphorbiaceae	Family Group 8
23	Style 0 or 1, ovary 1-chambered; stinging hairs present or 0	Urticaceae	Family Group 8
24	Leaves stiff and sword-like, 0.5--1.5 m; inflorescence a large panicle; perianth parts 6	Ruscaceae	Family Group 8
24	Leaves not sword-like, often smaller; inflorescences various; perianth parts mostly other than 6	25	Family Group 8
25	Blades of leaves linear or narrowly lanceolate, simple and entire; veins parallel; leaf bases sheathing stem	26	Family Group 8
25	Blades of leaves variously shaped, sometimes toothed, lobed, or compound; veins mostly pinnate or palmate; leaf bases often not sheathing stems --- flowers not in spikelets	28	Family Group 8
26	Leaves all basal; flowers solitary in leaf axils; styles very elongated, generally 6--20 cm	Juncaginaceae	Family Group 8
26	Leaves basal and cauline or all cauline; flowers in spikes or spikelets, these generally in 2&deg; clusters; styles generally << 5 cm	27	Family Group 8
27	Stem triangular; nodes not swollen; leaf blades channeled	Cyperaceae	Family Group 8
27	Stem round; nodes generally swollen and knot-like; leaf blades generally flat	Poaceae	Family Group 8
28	Ocreae present, persistent or not; nodes generally +- swollen	Polygonaceae	Family Group 8
28	Ocreae 0; nodes generally not swollen	29	Family Group 8
29	Leaves all basal	30	Family Group 8
29	At least some leaves cauline	33	Family Group 8
30	Leaves compound, leaflets 3; perianth parts in 5s; stolons present	Rosaceae	Family Group 8
30	Leaves simple, entire; perianth parts in 3s or 4s; stolons 0	31	Family Group 8
31	Perianth parts in 4s; fruit a circumscissile capsule	Plantaginaceae	Family Group 8
31	Perianth parts in 3s; fruit 1--many achenes	32	Family Group 8
32	Perianth clearly differentiated into sepals and petals; pistils many; plant +- emergent aquatic, annual or perennial herb	Alismataceae	Family Group 8
32	Perianth whorls not strongly differentiated, outer and inner similar; pistil 1; plant terrestrial matted per	Polygonaceae	Family Group 8
33	Plants vines	34	Family Group 8
33	Plants prostrate to erect herbs	36	Family Group 8
34	Tendrils 0; perianth not at all corolla-like; ovary superior	Cannabaceae	Family Group 8
34	Tendrils present; perianth corolla-like	35	Family Group 8
35	Ovary inferior	Cucurbitaceae	Family Group 8
35	Ovary superior	Smilacaceae	Family Group 8
36	Pistils 2--22, simple; fruit a cluster of achenes or follicles	37	Family Group 8
36	Pistil 1, simple or compound; fruit achene, utricle, capsule, or splitting into 2--13 mericarps	39	Family Group 8
37	Leaves simple, fleshy	Crassulaceae	Family Group 8
37	Leaves compound, leaflets thin	38	Family Group 8
38	Leaflets coarsely crenate or shallowly lobed; sepals generally 4; petals 0; inflorescence an open panicle	Ranunculaceae	Family Group 8
38	Leaflets 2-serrate; sepals 5; petals 5; inflorescence a panicle of dense spikes	Rosaceae	Family Group 8
39	Flowers in umbels or heads	40	Family Group 8
39	Flowers solitary or in axillary clusters or in racemes or panicles	43	Family Group 8
40	Inflorescence a simple or compound umbel	Apiaceae	Family Group 8
40	Inflorescence of 1 or more heads	41	Family Group 8
41	Head maturing as bur enclosing 1--5 fruits	Asteraceae	Family Group 8
41	Head not maturing as bur	42	Family Group 8
42	Corolla 0; head without involucre; ovary superior	Chenopodiaceae	Family Group 8
42	Corolla tubular; head subtended by an involucre; ovary inferior	Asteraceae	Family Group 8
43	Style branches 5--19; fruit splitting into 5--19 wedge-shaped mericarps at maturity	Malvaceae	Family Group 8
43	Style unbranched or branches 2 or 3 (dissected into linear lobes in _Croton_); fruit unsegmented or splitting into 2--3 segments	44	Family Group 8
44	Leaves palmately compound, leaflets serrate	Cannabaceae	Family Group 8
44	Leaves entire or toothed	45	Family Group 8
45	Leaves densely stellate-scaly or -hairy; ovary chambers generally 3; fruit a capsule	Euphorbiaceae	Family Group 8
45	Leaves not stellate-hairy; ovary chamber 1; fruit an achene or utricle	46	Family Group 8
46	Bractlets subtending flower 3, winged, abaxially bearing hooked hairs; stigma 1, sessile, hair-tufted; sepals 4, fused	Urticaceae	Family Group 8
46	Bractlets subtending flower 1--2, without hooked hairs; stigmas 2, linear; sepals 0 or 3--5, free	47	Family Group 8
47	Flower enclosed between a pair of bractlets; sepals generally 0; leaves generally bearing bead-like, sessile hairs or powdery scales	Chenopodiaceae	Family Group 8
47	Flower not enclosed by a pair of bractlets; sepals 3--5; leaves glabrous or glaucous	Amaranthaceae	Family Group 8
1	Plant parasitic on stem of woody host plant	Viscaceae	Family Group 9
1	Plant free-living, rooted in ground	2	Family Group 9
2	Trunk unbranched, generally stout, often covered with persistent woody leaf bases; leaves 4--7 m, pinnately compound	Arecaceae	Family Group 9
2	Trunk(s) generally branched, slender to stout, generally not covered with persistent leaf bases; leaves generally much smaller, simple or compound	3	Family Group 9
3	Leaves stiff and sword-like, 0.6--2 m, base much expanded, white, fleshy; inflorescence a large panicle	Ruscaceae	Family Group 9
3	Leaves not sword-like, mostly smaller, base not much expanded, white, and fleshy; inflorescences various	4	Family Group 9
4	Leaves opposite or whorled	5	Family Group 9
4	Leaves alternate (leaf often opposite a tendril or an inflorescence in Vitaceae)	19	Family Group 9
