from	statement	to	subkey
3	Plant not glandular	4	Brassicaceae Group 8
4	Fruit indehiscent	5	Brassicaceae Group 8
4	Fruit dehiscent	7	Brassicaceae Group 8
5	"Fruit winged, flat, lanceolate, not segmented, 1-seeded"	Isatis	Brassicaceae Group 8
5	"Fruit wings 0, cylindric or angled, segmented, seeds generally >= 1"	6	Brassicaceae Group 8
6	Style +- absent; plant glabrous	Cakile	Brassicaceae Group 8
6	Style 1--5 mm; plant hairy	Raphanus	Brassicaceae Group 8
7	Fruit segmented	8	Brassicaceae Group 8
7	Fruit unsegmented	14	Brassicaceae Group 8
8	Seeds in 2 rows	9	Brassicaceae Group 8
8	Seeds in 1 row	10	Brassicaceae Group 8
9	Terminal fruit segment not flattened; petal veins same color as blade	Diplotaxis	Brassicaceae Group 8
9	Terminal fruit segment flattened; petal veins darker than blade	Eruca	Brassicaceae Group 8
10	Fruit valves prominently 3--7-veined	11	Brassicaceae Group 8
10	Fruit valves obscurely veined or only midvein prominent	12	Brassicaceae Group 8
11	Fruit (30)40--150-seeded; sepals erect	Coincya	Brassicaceae Group 8
11	Fruit 4--16(24)-seeded; sepals spreading or reflexed	Sinapis	Brassicaceae Group 8
12	Inflorescence bracted	Erucastrum	Brassicaceae Group 8
12	Inflorescence not bracted	13	Brassicaceae Group 8
13	"Fruit spreading to erect, not appressed to rachis, terminal segment seedless or 1- or 2-seeded, if appressed then terminal segment seedless"	Brassica	Brassicaceae Group 8
13	"Fruit erect, appressed to rachis, terminal segment 1- or 2-seeded"	Hirschfeldia	Brassicaceae Group 8
14	Fruit flat parallel to septum	15	Brassicaceae Group 8
14	Fruit cylindric or 4-angled	25	Brassicaceae Group 8
15	Placenta margin flat in fruit; fruit valves coiled when dehiscent	Cardamine	Brassicaceae Group 8
15	Placenta margin not flat in fruit; fruit valves not coiled when dehiscent	16	Brassicaceae Group 8
16	Seed wings 0	17	Brassicaceae Group 8
16	Seeds winged at least at tip	21	Brassicaceae Group 8
17	Stalk above receptacle 6--28 mm	Stanleya	Brassicaceae Group 8
17	Stalk above receptacle 1--4(5) mm	18	Brassicaceae Group 8
18	"All cauline leaves pinnately dissected, segments thread-like or linear"	Sibara	Brassicaceae Group 8
18	"At least some cauline leaves entire to dentate or pinnately lobed, segments not thread-like or linear"	19	Brassicaceae Group 8
19	Most distal leaves entire --- stamens generally in 3 pairs of unequal length	Streptanthus	Brassicaceae Group 8
19	Most distal leaves dentate or lobed	20	Brassicaceae Group 8
20	"Cauline leaves sessile, basally lobed or clasping; petals yellow"	Barbarea	Brassicaceae Group 8
20	"Cauline leaves petioled, not basally lobed or clasping; petals white to purple"	Thelypodium	Brassicaceae Group 8
21	"Stamens 4 long, 2 short; petals clawed"	22	Brassicaceae Group 8
21	Stamens in 3 pairs of unequal length; petals generally not clawed	23	Brassicaceae Group 8
22	At least some cauline leaves entire or dentate	Boechera	Brassicaceae Group 8
22	All cauline leaves pinnately lobed	Planodes	Brassicaceae Group 8
23	"Fruit strongly reflexed, tip indehiscent, forming a beak"	Streptanthella	Brassicaceae Group 8
23	"Fruit generally erect to spreading (reflexed), dehiscent throughout, beak 0."	24	Brassicaceae Group 8
24	Sepals 2.8--3.2 mm; stem 0.5--2 dm	Sibaropsis	Brassicaceae Group 8
24	Sepals 4--8 mm; stem (0.7)1--8 dm	Streptanthus	Brassicaceae Group 8
25	Cauline leaves pinnately compound; proximal nodes rooting	Nasturtium	Brassicaceae Group 8
25	Cauline leaves simple; proximal nodes not rooting	26	Brassicaceae Group 8
26	Stalk above receptacle 6--28 mm	Stanleya	Brassicaceae Group 8
26	Stalk above receptacle 0--4(5) mm	27	Brassicaceae Group 8
27	"Cauline leaves basally lobed, sagittate, or clasping"	28	Brassicaceae Group 8
27	"Cauline leaves not basally lobed, sagittate, or clasping"	32	Brassicaceae Group 8
28	Cauline leaves dentate to pinnately lobed	29	Brassicaceae Group 8
28	Cauline leaves entire or wavy	31	Brassicaceae Group 8
29	Seeds in 2 rows	Rorippa	Brassicaceae Group 8
29	Seeds in 1 row	30	Brassicaceae Group 8
30	Biennial or perennial herb; petals not crinkled	Barbarea	Brassicaceae Group 8
30	Annual; petals generally crinkled	Caulanthus	Brassicaceae Group 8
31	Fruit 4-angled; petals yellow	Conringia	Brassicaceae Group 8
31	Fruit cylindric; petals white to purple	Thelypodium	Brassicaceae Group 8
32	Stigma prominently 2-lobed	33	Brassicaceae Group 8
32	Stigma entire	34	Brassicaceae Group 8
33	Fruit valves 1-veined; petals purple to white	Caulanthus	Brassicaceae Group 8
33	Fruit valves distinctly 3-veined; petals yellow	Sisymbrium	Brassicaceae Group 8
34	"Perennial herb, occasionally subshrub, caudex woody"	Hesperidanthus	Brassicaceae Group 8
34	Annual or biennial	35	Brassicaceae Group 8
35	"Stalk above receptacle slender, 1--5 mm; inflorescence spike-like"	Thelypodium	Brassicaceae Group 8
35	"Stalk above receptacle stout, 0--1 mm; inflorescence not spike-like"	36	Brassicaceae Group 8
36	Seeds in 1 row; petals (2.5)4--17 mm	Caulanthus	Brassicaceae Group 8
36	Seeds in 2 rows; petals 0.5--0.8 mm	Rorippa	Brassicaceae Group 8
