from	statement	to	shortcut
245	Appendages fused to base of fertile floret; spikelets laterally compressed, shortly pedicelled	Ichnanthus	
245	Appendages, when present, free from base of fertile floret or absent; spikelets dorsally compressed, long pedicelled	Yakirra	
246	Articulations present at the bases of spikelets, pedicels and inflorescence branches; upper glume 11-nerved	Arthragrostis	
246	Articulations absent on pedicels and inflorescence branches; upper glume 5-7-nerved	Whiteochloa	
247	Inflorescence an open or contracted panicle branched more than once; spikelets not grouped along one side of ultimate branches	248	
247	Inflorescence once branched, the branches digitate or borne on elongated axis; spikelets grouped along one side of branches	255	
248	Glumes slightly unequal in length	249	
248	Glumes very unequal in length	251	
249	Spikelets 4.5-6 mm long, borne at the ends of long branches	Homopholis	
249	Spikelets 0.2-2 mm long, on short branches	250	
250	Upper glume 3-nerved; spikelets falling with glumes and compressed laterally	Cyrtococcum	
250	Upper glume 5-9-nerved; spikelets disarticulating above glumes and compressed dorsally	Isachne	
251	Inflorescence a spike-like panicle	Sacciolepis	
251	Inflorescence an open panicle	252	
252	Upper glumes somewhat shorter than spikelet	Ottochloa	
252	Upper glume as long as spikelet	253	
253	Fertile floret smooth and shiny	Panicum	
253	Fertile floret transversely rugose	254	
254	Culm base bulbous	Zuloagaea	
254	Culm base not bulbous	Megathyrsus	
255	Lower glume absent or represented by a minute scale	256	
255	Lower glume present	257	
256	Lower lemma adjacent to the inflorescence axis	Axonopus	
256	Lower lemma positioned away from the inflorescence axis	Paspalum	
257	Spikelets awnless or mucronate	258	
257	Spikelets distinctly awned	259	
258	Upper lemma rugose and verrucose	Moorochloa	
258	Upper lemma smooth	Urochloa	
259	Glumes more or less equal and similar; decumbent grass of shaded habitats	Oplismenus	
259	Glumes very unequal and dissimilar; erect grass of wet habitats	Echinochloa	
